Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Line Item Insurance (USD),YEAR,MONTH,QUARTER,DAY
109-TZ-T30,FPQ-10809,SCMS-162861,ASN-18311,Tanzania,PMO - US,Direct Drop,EXW,Air,2013-04-10,10-Apr-13,10-Apr-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,218,17440.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,21.57,2013,4,2,10
105-SS-T30,FPQ-15569,SCMS-272170,ASN-31958,South Sudan,PMO - US,Direct Drop,EXW,Air,2015-07-02,2-Jul-15,3-Jul-15,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",Determine,300mg,Test kit - Ancillary,1,45,225.0,5.0,5.0,"Alere Medical Co., Ltd.",Yes,0.26,2015,7,3,2
116-ZA-T30,FPQ-14942,SCMS-259071,ASN-29597,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-11-28,28-Nov-14,28-Nov-14,ARV,Adult,PHARMACY DIRECT,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,12,216.37,18.03,0.3,"Aurobindo Unit III, India",No,0.22,2014,11,4,28
102-ML-T30,FPQ-11783,SCMS-182801,ASN-19657,Mali,PMO - US,Direct Drop,EXW,Air,2013-07-03,3-Jul-13,3-Jul-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Clearview Complete Kit, 25 Tests","HIV 1/2, Clearview Complete Kit",Clearview,300mg,Test kit,25,20,1900.0,95.0,3.8,Chembio Diagnostics Sys. Inc.,Yes,2.35,2013,7,3,3
111-MZ-T30,FPQ-13395,SCMS-219220,ASN-25454,Mozambique,PMO - US,Direct Drop,EXW,Air,2014-05-02,2-May-14,7-May-14,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,23040,186854.4,8.11,0.14,Hetero Unit III Hyderabad IN,Yes,192.09,2014,5,2,2
116-ZA-T30,FPQ-4359,SCMS-54980,ASN-5373,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-10-19,19-Oct-09,19-Oct-09,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,2200,3914.05,1.78,0.01,"BMS Meymac, France",No,7.67,2009,10,4,19
109-TZ-T30,FPQ-16453,SCMS-293540,ASN-33245,Tanzania,PMO - US,Direct Drop,EXW,Air,2015-08-24,24-Aug-15,28-Aug-15,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,400,12800.0,32.0,1.6,"Trinity Biotech, Plc",Yes,15.07,2015,8,3,24
107-RW-T30,FPQ-8932,SCMS-129870,ASN-13373,Rwanda,PMO - US,Direct Drop,EXW,Air,2012-01-24,26-Jan-12,26-Jan-12,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,41286,220880.1,5.35,0.18,"Aurobindo Unit VII, IN",Yes,309.67,2012,1,1,24
107-RW-T30,FPQ-6341,SCMS-84940,ASN-10070,Rwanda,PMO - US,Direct Drop,EXW,Ocean,2011-04-27,27-Apr-11,27-Apr-11,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,117359,997551.5,8.5,0.28,Mylan (formerly Matrix) Nashik,Yes,2150.72,2011,4,2,27
108-VN-T30,FPQ-4266,SCMS-56540,ASN-7741,Vietnam,PMO - US,Direct Drop,EXW,Air,2010-08-23,23-Aug-10,23-Aug-10,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,20500,228575.0,11.15,0.19,"Aurobindo Unit III, India",Yes,448.01,2010,8,3,23
116-ZA-T30,FPQ-3560,SCMS-49631,ASN-5444,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-09-14,9-Oct-09,9-Oct-09,ARV,Adult,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,9612,183096.09,19.05,0.64,"Cipla, Goa, India",Yes,358.87,2009,9,3,14
110-ZM-T30,FPQ-4692,SCMS-60720,ASN-6175,Zambia,PMO - US,Direct Drop,EXW,Air,2010-03-16,16-Mar-10,16-Mar-10,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,5264,168448.0,32.0,1.6,"Trinity Biotech, Plc",Yes,363.17,2010,3,1,16
117-ET-T30,FPQ-5582,SCMS-72390,ASN-9567,Ethiopia,PMO - US,Direct Drop,EXW,Air,2011-02-14,14-Feb-11,14-Feb-11,ARV,Adult,Aurobindo Pharma Limited,"Didanosine 250mg, delayed-release capsules, 30 Caps",Didanosine,Generic,250mg,Delayed-release capsules,30,2600,33800.0,13.0,0.43,"Aurobindo Unit III, India",Yes,72.87,2011,2,1,14
161-ZA-T30,FPQ-6708,SCMS-93580,ASN-9951,South Africa,PMO - US,Direct Drop,DDP,Ocean,2011-04-08,8-Apr-11,8-Apr-11,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,137654,944306.44,6.86,0.23,"Cipla, Goa, India",Yes,1558.11,2011,4,2,8
106-HT-T30,FPQ-13797,SCMS-233940,ASN-26454,Haiti,PMO - US,Direct Drop,EXW,Air,2014-07-14,14-Jul-14,16-Jul-14,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,705,1064.55,1.51,0.01,"Aurobindo Unit III, India",Yes,1.09,2014,7,3,14
109-TZ-T30,FPQ-12540,SCMS-198780,ASN-20860,Tanzania,PMO - US,Direct Drop,EXW,Air,2013-09-24,24-Sep-13,24-Sep-13,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,36426,296143.38,8.13,0.14,"Aurobindo Unit III, India",Yes,366.33,2013,9,3,24
104-CI-T30,FPQ-8210,SCMS-124140,ASN-13540,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2012-02-06,6-Feb-12,6-Feb-12,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,1129,32741.0,29.0,1.45,Chembio Diagnostics Sys. Inc.,Yes,54.02,2012,2,1,6
108-VN-T30,FPQ-13034,SCMS-210120,ASN-24394,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-04-23,23-Apr-14,23-Apr-14,ARV,Adult,HETERO LABS LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,14011,25920.35,1.85,0.03,Hetero Unit III Hyderabad IN,Yes,32.06,2014,4,2,23
133-NG-T30,FPQ-10765,SCMS-162440,ASN-18175,Nigeria,PMO - US,Direct Drop,EXW,Air,2013-01-09,26-Feb-13,26-Feb-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,1859,165451.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,231.96,2013,1,1,9
116-ZA-T30,FPQ-14942,SCMS-259074,ASN-31070,South Africa,PMO - US,Direct Drop,DDP,Truck,2015-03-09,9-Mar-15,9-Mar-15,ARV,Adult,PHARMACY DIRECT,"Didanosine 250mg, delayed-release capsules, 30 Caps",Didanosine,Generic,250mg,Delayed-release capsules,30,1,11.02,11.02,0.37,"Aurobindo Unit III, India",No,0.01,2015,3,1,9
122-HT-T30,FPQ-8635,SCMS-132180,ASN-13412,Haiti,PMO - US,Direct Drop,EXW,Air,2012-01-18,18-Jan-12,18-Jan-12,ANTM,Malaria,AMSTELFARMA B.V.,"Mefloquine 250mg (as hydrochloride), tablets, 100 Tabs",Mefloquine (as hydrochloride),Generic,250mg,Tablet,100,100,8905.0,89.05,0.89,"Medochemie Factory A, CY",Yes,12.48,2012,1,1,18
109-TZ-T30,FPQ-3782,SCMS-47770,ASN-5364,Tanzania,PMO - US,Direct Drop,CIP,Air,2009-11-27,27-Nov-09,27-Nov-09,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,18544,340096.96,18.34,0.61,"BMS Meymac, France",Yes,666.59,2009,11,4,27
106-HT-T30,FPQ-15038,SCMS-262840,ASN-31820,Haiti,PMO - US,Direct Drop,EXW,Ocean,2015-07-03,3-Jul-15,13-Jul-15,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,3300,13035.0,3.95,0.07,Mylan (formerly Matrix) Nashik,Yes,13.4,2015,7,3,3
161-ZA-T30,FPQ-6262,SCMS-83790,ASN-10250,South Africa,PMO - US,Direct Drop,DDP,Ocean,2011-02-01,3-May-11,3-May-11,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,1515,15119.7,9.98,0.11,"Aurobindo Unit III, India",Yes,32.6,2011,2,1,1
117-ET-T30,FPQ-6976,SCMS-98320,ASN-12361,Ethiopia,PMO - US,Direct Drop,EXW,Air,2011-10-31,31-Oct-11,31-Oct-11,ARV,Adult,Aurobindo Pharma Limited,"Didanosine 400mg, delayed-release capsules, 30 Caps",Didanosine,Generic,400mg,Delayed-release capsules,30,2225,44500.0,20.0,0.67,"Aurobindo Unit III, India",Yes,73.42,2011,10,4,31
109-TZ-T30,FPQ-7992,SCMS-117230,ASN-13952,Tanzania,PMO - US,Direct Drop,FCA,Air,2012-03-29,29-Mar-12,29-Mar-12,ARV,Pediatric,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),"Didanosine 100mg [Videx],chewable tablets, 60 Tabs",Didanosine,Videx,100mg,Chewable/dispersible tablet,60,4132,52683.0,12.75,0.21,Bristol-Myers Squibb Anagni IT,Yes,86.93,2012,3,1,29
108-VN-T30,FPQ-10811,SCMS-164660,ASN-18971,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-05-16,16-May-13,16-May-13,ARV,Adult,STRIDES ARCOLAB LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,21858,184044.36,8.42,0.14,"Strides, Bangalore, India.",Yes,227.66,2013,5,2,16
102-BI-T30,FPQ-14594,SCMS-250100,ASN-28054,Burundi,PMO - US,Direct Drop,EXW,Air,2014-09-26,26-Sep-14,29-Sep-14,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak Dipstick Assay Kit, 30 Tests","HIV 1/2, Stat-Pak Dipstick Assay Kit",Stat-Pak,300mg,Test kit,30,414,11426.4,27.6,0.92,Chembio Diagnostics Sys. Inc.,Yes,11.75,2014,9,3,26
109-TZ-T30,FPQ-6936,SCMS-100632,ASN-10905,Tanzania,PMO - US,Direct Drop,EXW,Air,2011-07-14,14-Jul-11,14-Jul-11,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,330.0,2011,7,3,14
106-HT-T30,FPQ-9066,SCMS-138580,ASN-14408,Haiti,PMO - US,Direct Drop,EXW,Air,2012-04-22,22-Apr-12,22-Apr-12,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,2894,3617.5,1.25,0.04,"Aurobindo Unit III, India",Yes,5.07,2012,4,2,22
117-ET-T30,FPQ-14357,SCMS-244850,ASN-27243,Ethiopia,PMO - US,Direct Drop,EXW,Air,2014-07-29,29-Jul-14,14-Aug-14,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,679,22067.5,32.5,1.62,Chembio Diagnostics Sys. Inc.,Yes,22.69,2014,7,3,29
103-KE-T30,FPQ-10018,SCMS-149610,ASN-15367,Kenya,PMO - US,Direct Drop,EXW,Air,2012-07-09,9-Jul-12,9-Jul-12,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,7999,711911.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,998.1,2012,7,3,9
117-ET-T30,FPQ-9096,SCMS-133330,ASN-14559,Ethiopia,PMO - US,Direct Drop,EXW,Air,2012-04-25,25-Apr-12,25-Apr-12,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,26,832.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1.17,2012,4,2,25
105-DO-T30,FPQ-7858,SCMS-117400,ASN-12550,Dominican Republic,PMO - US,Direct Drop,EXW,Air,2011-10-27,27-Oct-11,27-Oct-11,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,2772,255024.0,92.0,0.92,Inverness Japan,Yes,420.79,2011,10,4,27
116-ZA-T30,FPQ-14942,SCMS-259077,ASN-33478,South Africa,PMO - US,Direct Drop,DDP,Truck,2015-07-24,24-Jul-15,24-Jul-15,ARV,Adult,PHARMACY DIRECT,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,100mg,Tablet,120,27,742.84,27.51,0.23,"Janssen-Cilag, Latina, IT",Yes,0.76,2015,7,3,24
105-SS-T30,FPQ-15569,SCMS-272170,ASN-32107,South Sudan,PMO - US,Direct Drop,EXW,Air,2015-07-02,7-Jul-15,7-Jul-15,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,100,8900.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,10.48,2015,7,3,2
107-RW-T30,FPQ-6341,SCMS-84930,ASN-12601,Rwanda,PMO - US,Direct Drop,EXW,Ocean,2011-12-13,13-Dec-11,13-Dec-11,ARV,Adult,CIPLA LIMITED,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,23240,776216.0,33.4,0.28,Cipla Ltd A-42 MIDC Mahar. IN,Yes,1673.52,2011,12,4,13
116-ZA-T30,FPQ-13973,SCMS-238552,ASN-27609,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-08-05,5-Aug-14,5-Aug-14,ARV,Adult,PHARMACY DIRECT,"Darunavir 300mg [Prezista], tablets, 120 Tabs",Darunavir,Prezista,300mg,Tablet,120,36,2509.54,69.71,0.58,"Janssen-Cilag, Latina, IT",Yes,2.58,2014,8,3,5
109-TZ-T30,FPQ-6936,SCMS-100631,ASN-10904,Tanzania,PMO - US,Direct Drop,EXW,Air,2011-07-14,14-Jul-11,14-Jul-11,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,330.0,2011,7,3,14
109-TZ-T30,FPQ-13418,SCMS-219200,ASN-24662,Tanzania,PMO - US,Direct Drop,EXW,Air,2014-04-25,25-Apr-14,25-Apr-14,ARV,Adult,HETERO LABS LIMITED,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,63200,347600.0,5.5,0.09,Hetero Unit III Hyderabad IN,Yes,357.33,2014,4,2,25
161-ZA-T30,FPQ-7175,SCMS-104100,ASN-13291,South Africa,PMO - US,Direct Drop,DDP,Ocean,2012-01-12,27-Jan-12,27-Jan-12,ARV,Adult,CIPLA LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,37870,103006.4,2.72,0.05,"Cipla, Goa, India",Yes,169.96,2012,1,1,12
106-HT-T30,FPQ-12590,SCMS-210541,ASN-24373,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-05-09,9-May-14,12-May-14,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,889,3200.4,3.6,0.06,Mylan (formerly Matrix) Nashik,Yes,3.96,2014,5,2,9
116-ZA-T30,FPQ-4359,SCMS-54980,ASN-5373,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-10-19,19-Oct-09,19-Oct-09,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Nevirapine,Viramune,10mg/ml,Oral suspension,240,220,3442.16,15.65,0.07,Boehringer Ingelheim Roxane US,No,6.75,2009,10,4,19
107-RW-T30,FPQ-8741,SCMS-129500,ASN-15286,Rwanda,PMO - US,Direct Drop,EXW,Air,2012-06-29,29-Jun-12,29-Jun-12,ARV,Adult,CIPLA LIMITED,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,2074,74746.96,36.04,0.3,Cipla Ltd A-42 MIDC Mahar. IN,Yes,104.8,2012,6,2,29
110-ZM-T30,FPQ-13084,SCMS-211070,ASN-23340,Zambia,PMO - US,Direct Drop,EXW,Air,2013-12-23,23-Dec-13,9-Apr-14,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,20000,43000.0,2.15,0.04,"Aurobindo Unit III, India",Yes,44.2,2013,12,4,23
108-VN-T30,FPQ-13034,SCMS-210020,ASN-24764,Vietnam,PMO - US,Direct Drop,FCA,Air,2014-04-04,4-Apr-14,5-Apr-14,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1969,119754.58,60.82,0.51,ABBVIE Ludwigshafen Germany,Yes,148.14,2014,4,2,4
102-KE-T30,FPQ-7056,SCMS-98350,ASN-10471,Kenya,PMO - US,Direct Drop,FCA,Air,2011-05-17,17-May-11,17-May-11,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,12315,1096035.0,89.0,0.89,Inverness Japan,Yes,1808.46,2011,5,2,17
102-KE-T30,FPQ-4591,SCMS-58382,ASN-7490,Kenya,PMO - US,Direct Drop,EXW,Air,2010-07-29,29-Jul-10,29-Jul-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,8442,675360.0,80.0,0.8,Inverness Japan,Yes,1456.08,2010,7,3,29
110-ZM-T30,FPQ-11979,SCMS-188801,ASN-21568,Zambia,PMO - US,Direct Drop,EXW,Air,2013-10-17,17-Oct-13,6-Nov-13,ARV,Adult,Aurobindo Pharma Limited,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,11811,69684.9,5.9,0.2,"Aurobindo Unit III, India",Yes,86.2,2013,10,4,17
108-VN-T30,FPQ-9577,SCMS-145520,ASN-15795,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-08-22,22-Aug-12,22-Aug-12,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,3000,6720.0,2.24,0.07,"Aurobindo Unit III, India",Yes,9.42,2012,8,3,22
107-RW-T30,FPQ-3859,SCMS-48840,ASN-5452,Rwanda,PMO - US,Direct Drop,CIP,Air,2009-11-23,23-Nov-09,23-Nov-09,ARV,Adult,HETERO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,29925,92468.25,3.09,0.05,Hetero Unit III Hyderabad IN,Yes,181.24,2009,11,4,23
108-VN-T30,FPQ-11417,SCMS-174390,ASN-18903,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-04-25,25-Apr-13,25-Apr-13,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,34640,122972.0,3.55,0.12,Hetero Unit III Hyderabad IN,Yes,152.12,2013,4,2,25
107-RW-T30,FPQ-13651,SCMS-227720,ASN-25267,Rwanda,PMO - US,Direct Drop,EXW,Air,2014-05-06,6-May-14,15-May-14,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,9690,14631.9,1.51,0.01,"Aurobindo Unit III, India",Yes,15.04,2014,5,2,6
114-UG-T30,FPQ-11098,SCMS-171670,ASN-17984,Uganda,PMO - US,Direct Drop,EXW,Air,2013-02-20,20-Feb-13,20-Feb-13,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak Dipstick Assay Kit, 30 Tests","HIV 1/2, Stat-Pak Dipstick Assay Kit",Stat-Pak,300mg,Test kit,30,1458,40240.8,27.6,0.92,Chembio Diagnostics Sys. Inc.,Yes,49.78,2013,2,1,20
108-VN-T30,FPQ-4720,SCMS-62460,ASN-6355,Vietnam,PMO - US,Direct Drop,EXW,Air,2010-03-29,29-Mar-10,29-Mar-10,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,100,1750.0,17.5,0.29,Mylan (formerly Matrix) Nashik,Yes,3.77,2010,3,1,29
104-CI-T30,FPQ-13125,SCMS-215051,ASN-24722,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2014-03-14,14-Mar-14,20-Mar-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,5900,472000.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,485.22,2014,3,1,14
106-HT-T30,FPQ-14083,SCMS-240191,ASN-27659,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-10-28,28-Oct-14,19-Nov-14,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,2040,4080.0,2.0,0.01,"Aurobindo Unit III, India",Yes,4.19,2014,10,4,28
108-VN-T30,FPQ-8428,SCMS-123600,ASN-13410,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-02-18,18-Feb-12,18-Feb-12,ARV,Adult,Aurobindo Pharma Limited,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,112,1618.4,14.45,0.24,"Aurobindo Unit III, India",Yes,2.67,2012,2,1,18
108-VN-T30,FPQ-4720,SCMS-62460,ASN-6355,Vietnam,PMO - US,Direct Drop,EXW,Air,2010-03-29,29-Mar-10,29-Mar-10,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,11592,52048.08,4.49,0.15,Mylan (formerly Matrix) Nashik,No,112.22,2010,3,1,29
151-NG-T30,FPQ-9436,SCMS-141660,ASN-16315,Nigeria,PMO - US,Direct Drop,EXW,Air,2012-10-20,20-Oct-12,20-Oct-12,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,10150,228375.0,22.5,0.75,Mylan (formerly Matrix) Nashik,Yes,320.18,2012,10,4,20
116-ZA-T30,FPQ-15269,SCMS-267020,ASN-29764,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-12-10,10-Dec-14,10-Dec-14,ARV,Adult,S. BUYS WHOLESALER,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,143,2313.12,16.18,0.27,"Cipla, Goa, India",Yes,2.72,2014,12,4,10
108-VN-T30,FPQ-12539,SCMS-199710,ASN-23182,Vietnam,PMO - US,Direct Drop,FCA,Air,2014-01-08,8-Jan-14,8-Jan-14,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Ritonavir,Norvir,100mg,Tablet,30,319,7419.94,23.26,0.78,ABBVIE Ludwigshafen Germany,Yes,9.18,2014,1,1,8
